ticker,company_name,province,hq_address_raw,soe_dummy_final,state_own_share
AMC,Công ty cổ phần Khoáng sản Á Châu,Nghệ An,"\u003c/b\u003e Lô 32, Khu C, KCN Nam Cấm, xã Trung Lộc, tỉnh Nghệ An\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e +84-(4) 3 879 1777 - Fax: +84-(4) 3 879 1555\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b",0,
AME,Công ty Cổ phần Alphanam E&C,Hà Nội,"\u003c/b\u003e 108 Nguyễn Trãi, phường Thanh Xuân, T.P Hà Nội\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e (84-4) 3 936 79 79 - Fax: (84-4) 3 939 36 76\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e",0,
AMV,CTCP Sản xuất Kinh doanh Dược và Trang thiết bị Y,Hồ Chí Minh,"\u003c/b\u003e Lầu 4, tòa nhà Phú Mã Dương, 85 Hoàng Văn Thái, phường Tân Mỹ, T.P Hồ Chí Minh\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 028 66501148 Fax: 84–(651) 388 90 32\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố",0,
APG,Công ty Cổ phần Chứng khoán APG,Hồ Chí Minh,"\u003c/b\u003e Tòa nhà văn phòng OSC Việt Nam, số 161 Võ Văn Tần, phường Xuân Hòa, TP HCM\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 024 3941 0277 Fax: 024 3941 0323\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông ti",0,
APS,Công ty Cổ phần Chứng khoán Châu Á – Thái Bình Dương,Hà Nội,"\u003c/b\u003e Tầng 2,3 Tòa nhà Machino Building, Số 444 Hoàng Hoa Thám, P. Thụy Khuê, Q. Ba Đình, Hà Nội\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e (84-4) 3573 0200 Fax: (84-4) 3577 1969\u003c/p\u003e\u003cp\u003e\u003cb\u003e",0,
ARM,Công ty Cổ phần Xuất nhập khẩu Hàng không,Hà Nội,"\u003c/b\u003e 414 Nguyễn Văn Cừ, Q. Long Biên, TP. Hà Nội\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 84-(4) 38 271 351 - Fax: 84-(4) 38 271 925\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e Ông N",0,
ASM,Công ty Cổ phần Tập đoàn Sao Mai,An Giang,"\u003c/b\u003e 326 Hùng Vương, phường Long Xuyên, tỉnh An Giang\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 0296 3840 138 Fax: 0296 3840 139\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e \u003c/p\u",0,
ASP,Công ty Cổ phần Tập đoàn Dầu khí An Pha,Hồ Chí Minh,"\u003c/b\u003e Phòng 805, lầu 8, tòa nhà SAIGON PARAGON, số 3, đường Nguyễn Lương Bằng, phường Tân Mỹ, thành phố Hồ Chí Minh\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 84-(8) 54 136 338/ 339 Fax: 84-(8) 54 136 340\u003c/p\u003",0,
AST,Công ty Cổ phần Dịch vụ Hàng không Taseco,Hà Nội,"\u003c/b\u003e Tầng 1, Tòa nhà N02-T1, khu đoàn ngoại giao, phố Đỗ Nhuận, Phường Xuân Đỉnh, Thành phố Hà Nội\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e (84-24) 3587 6683 Fax: (84 24) 3587 6678\u003c/p\u003e\u003cp\u003e\u0",0,
ATS,Công ty cổ phần Tập đoàn Đầu tư ATS,Hồ Chí Minh,"\u003c/b\u003e Golden King tower, 15 Nguyễn Lương Bằng, P.Tân Mỹ,, T.P Hồ Chí Minh\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 0919012659\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e\u003c/p\u003e",0,
BAB,Ngân hàng Thương mại cổ phần Bắc Á,Nghệ An,"\u003c/b\u003e 117 Quang Trung, phường Thành Vinh, tỉnh Nghệ An\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e +84-(238)-3844 277 - Fax: +84-(238)-3841 757\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003",0,
BBC,Công ty Cổ phần Bibica,Hồ Chí Minh,"\u003c/b\u003e 443 Lý Thường Kiệt, Phường Tân Hòa, T.P Hồ Chí Minh\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 84.028.39717920 Số fax : 84.028.39717922\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u0",0,
BBS,Công ty cổ phần VICEM Bao bì Bút Sơn,Nam Định,\u003c/b\u003e Km 2 - Đường Văn Cao - Thành phố Nam Định \u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 84-(350) 383 93 53 - Fax: 84-(350) 384 03 95\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e Ông,0,1.0
BCC,Công ty Cổ phần Xi măng Bỉm Sơn,Thanh Hóa,"\u003c/b\u003e Tổ dân phố số 7, phường Bỉm Sơn, tỉnh Thanh Hóa\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 84-(37) 3824 242 Fax: 84-(37) 3824 046\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e \u0",0,
BCM,Tập đoàn Đầu tư và Phát triển công nghiệp Becamex - CTCP,Hồ Chí Minh,"\u003c/b\u003e Tầng 10, Tòa nhà mPlaza Saigon, số 39 Lê Duẩn, Phường Sài Gòn, TP HCM\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 0274 3822 655 / Fax: 0274 3822 713\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\",0,
BDB,Công ty Cổ phần Sách và Thiết bị Bình Định,Bình Định,"\u003c/b\u003e 219 Nguyễn Lữ, Tp. Quy Nhơn, Bình Định\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 84-(56) 352 2645 Fax: 84-(56) 352 2853\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e Bà Đoàn Thị L",0,
BFC,Công ty cổ phần Phân bón Bình Điền,Hồ Chí Minh,"\u003c/b\u003e C12/21 Đường Lê khả Phiêu, xã Tân Nhựt, Thành phố Hồ Chí Minh\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 028 37560110 − Số fax: 028 37560799\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\",0,
BHN,Tổng CTCP Bia - Rượu - Nước giải khát Hà Nội,Hà Nội,\u003c/b\u003e Số 183 Hoàng Hoa Thám - Phường Ngọc Hà - T.P Hà Nội\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 04 3845 3843 - Fax: 04 3722 3784\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e \u003c/,0,
BID,Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam,Hà Nội,"\u003c/b\u003e Tháp BIDV, 194 Trần Quang Khải, phường Lý Thái Tổ, quận Hoàn Kiếm, TP Hà Nội, Việt Nam\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e +84-(04)-2220 5544 - Fax: +84-(04)-2220 0399\u003c/p\u003e\u003cp\u003e\u003cb\u003",1,1.0
BKC,Công ty Cổ phần Khoáng sản Bắc Kạn,Thái Nguyên,"\u003c/b\u003e TDP 4A, phường Đức Xuân, tỉnh Thái Nguyên\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 84-(281) 3 871 779 Fax: 84-(281) 3 871 837\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e \u003c",0,
BKG,Công ty Cổ phần Đầu tư BKG Việt Nam,Hà Nội,"\u003c/b\u003e Tầng 4, tòa nhà HPC Landmark 105, đường Tố Hữu, KĐT Văn Khê, Phường La Khê, Quận Hà Đông, Thành phố Hà Nội\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 024.2283.2468 Fax : 024.2283.2468\u003c/p\u003e\u003cp\u00",0,
BMP,Công ty Cổ phần Nhựa Bình Minh,Hậu Giang,"\u003c/b\u003e 240 Hậu Giang, Phường 9, Quận 6 Thành phố HCM\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e +84-(08)-3969 0973 - Fax: +84-(08)-3960 6814\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e \",0,
BPC,Công ty cổ phần Vicem Bao bì Bỉm Sơn,Thanh Hóa,\u003c/b\u003e Phường Lam Sơn - Thị xã Bỉm Sơn - Thanh Hóa\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 84-(37) 382 56 32 / 84-(37) 376 74 74 Fax: 0373 82\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u00,1,1.0
BRC,Công ty Cổ phần Cao su Bến Thành,Hồ Chí Minh,"\u003c/b\u003e Lô B3-1 Khu Công nghiệp Tây Bắc Củ Chi, đường Giáp Hải (D3), xã TNhuận Đức, Tp. Hồ Chí Minh\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e (028) 3790 7619 – 3 790 8068 Số fax: (028) 3790\u003c/p\u003e\u003cp\u003e\u",1,1.0
BSC,Công ty Cổ phần Dịch vụ Bến Thành,Hồ Chí Minh,"\u003c/b\u003e 390 Nguyễn Công Trứ, phường Bến Thành, T.P Hồ Chí Minh\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e +84-(08)-39140932 - Fax: +84-(08)-39140934\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\",0,
BSI,Công ty cổ phần Chứng khoán BIDV,Hà Nội,"\u003c/b\u003e Tầng 8, Tầng 9 Toà nhà LPB Tower, số 210 Trần Quang Khải, phường Hoàn Kiếm, TP Hà Nội\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 84-4 39352722 / 84-8 38128885 - Fax: 84-4 22200669\u003c/p\u003e\u003cp\u003e\u003cb",0,
BSR,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,Quảng Ngãi,\u003c/b\u003e 208 - Đại lộ Hùng Vương - Phường Nghĩa Lộ - tỉnh Quảng Ngãi\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 0255.3825825 - Fax: 02553825826\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e,0,
BTS,Công ty cổ phần Xi măng Vicem Bút Sơn,Ninh Bình,"\u003c/b\u003e TDP Hồng Sơn, P.Lý Thường Kiệt, tỉnh Ninh Bình\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e (84-351) 3 851 323 - Fax: (84-351) 3 851 320\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e",0,
BTT,Công ty Cổ phần Thương mại - Dịch vụ Bến Thành,Hồ Chí Minh,"\u003c/b\u003e 2-4 Lưu Văn Lang, P. Bến Thành, Tp. Hồ Chí Minh\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 028 382 233 90 Fax: 028 382 913 89\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e \u003c/",0,
BWE,Công ty Cổ phần Nước – Môi trường Bình Dương,Hồ Chí Minh,"\u003c/b\u003e Số 11 đường Ngô Văn Trị, Phường Phú Lợi, Thành phố Hồ Chí Minh\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e (0274)3838 333 - 389 77 66 Fax: (0274) 3827738\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông",0,
C32,Công ty Cổ phần CIC39,Bình Dương,"\u003c/b\u003e Số 45A Đường Nguyễn Văn Tiết, Thị trấn Lái Thiêu, Huyện Thuận An, Tỉnh Bình Dương\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 84-(650)3759.446 Fax: 84-(650)3755.605\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công",0,
C47,Công ty Cổ phần Xây dựng 47,Gia Lai,"\u003c/b\u003e 08 Biên Cương, Phường Quy Nhơn Nam, Tỉnh Gia Lai\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 0256 3522166 / 3522931 - Fax: 0256 3522316\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e",0,
CAN,Công ty Cổ phần Đồ hộp Hạ Long,Hải Phòng,"\u003c/b\u003e 71 Lê Lai, phường Ngô Quyền, T.P Hải Phòng\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e +84-(31) 3836 692 Fax: +84-(31) 3836 155\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e \u003c/",0,
CCL,Công ty cổ phần Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,Cần Thơ,"\u003c/b\u003e Số 2, Lô KTM 06, đường số 6, khu đô thị 5A, phường Phú Lợi, thành phố Cần Thơ\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 0299 3627999 - Fax: 0299 3627888\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông",0,
CCR,Công ty cổ phần Cảng Cam Ranh,Khánh Hòa,"\u003c/b\u003e Số 29 đường Nguyễn Trọng Kỷ, tổ dân phố Đá Bạc, P.Cam Linh, T.P Cam Ranh, tỉnh Khánh Hòa\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e (0258) 3854 307 | Fax: (0258) 3854 536\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgư",1,1.0
CDN,Công ty cổ phần Cảng Đà Nẵng,Đà Nẵng,"\u003c/b\u003e 26 Bạch Đằng, quận Hải Châu, Đà Nẵng\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e (05113) 822513 - Fax: (05113) 822565\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e Ông Nguyễn Ngọc T",0,
CET,Công ty cổ phần HTC Holding,Hà Nội,"\u003c/b\u003e Số 4, tầng 4, tòa nhà Deaha, 360 Kim Mã, phường Giảng Võ, T.P Hà Nội\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 0203 864617\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e \u003c/p\u0",0,
CHP,Công ty Cổ phần Thủy điện miền Trung,Đà Nẵng,"\u003c/b\u003e KCN Đà Nẵng, Phường An Hải, T.P Đà Nẵng\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 0236 3959 110 - Fax: 0236 393 5960\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e \u003c/p\u003e\u0",0,
CIA,Công ty Cổ phần Dịch vụ Sân bay Quốc tế Cam Ranh,Khánh Hòa,"\u003c/b\u003e Sân bay Quốc tế Cam Ranh, phường Bắc Cam Ranh, tỉnh Khánh Hòa\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e (0258) 6 265 588 Fax : (0258) 6 266 262\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003",0,
CJC,Công ty Cổ phần Cơ điện Miền Trung,Đà Nẵng,"\u003c/b\u003e Khu Công nghiệp Hoà Cầm, Quận Cẩm Lệ, TP. Đà Nẵng\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 84-(511) 221 84 55 - Fax: 84-(511) 384 62 24\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u0",0,
CKG,Công ty Cổ phần Tập đoàn CIC,Kiên Giang,"\u003c/b\u003e số 34 đường Trần Phú, phường Rạch Giá, tỉnh Kiên Giang\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e (0297 3) 860.439 – 874.660 Fax: (02973) 866.451\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u00",0,
CKV,Công ty Cổ phần COKYVINA,Hà Nội,"\u003c/b\u003e Số 178 Phố Triệu Việt Vương, phường Bùi Thị Xuân, quận Hai Bà Trưng, Hà Nội\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 84-(4) 397 813 23 Fax: 84-(4) 397 823 68\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công b",0,0.02
CLC,Công ty Cổ phần Cát Lợi,Hồ Chí Minh,"\u003c/b\u003e 934D2, Đường D, Khu CN Cát Lái, P. Thạnh Mỹ Lợi, Quận 2, Tp.HCM\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 08 374 211 18 Fax: 08 374 209 23\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u",0,
CLH,Công ty cổ phần Xi măng La Hiên VVMI,Thái Nguyên,"\u003c/b\u003e Xóm Cây Bòng, xã La Hiên, huyện Võ Nhai, tỉnh Thái Nguyên\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 0280 829154 - Fax: 0280 829056 \u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e",0,
CLL,Công ty cổ phần Cảng Cát Lái,Hồ Chí Minh,"\u003c/b\u003e Đường Nguyễn Thị Định , Phường Cát Lái, TP. Hồ Chí Minh, Việt Nam\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e (08)374 23499/23501 Fax: (08)374 23500\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\",0,
CLM,CTCP Xuất nhập khẩu Than - Vinacomin,Hà Nội,"\u003c/b\u003e 47 Quang Trung, phường Cửa Nam, T.P Hà Nội\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e (04) 39424634| Fax: (04) 39422350\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e \u003c/p\u003e\",0,
CLW,Công ty Cổ phần Cấp nước Chợ Lớn,Hồ Chí Minh,"\u003c/b\u003e Số 97, Phạm Hữu Chí, Phường 12, Quận 5, Tp.HCM \u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e (08) 38 552 354 Fax: (84-8) 39 550 424\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e Ông L",0,
CMC,Công ty Cổ phần Đầu tư CMC,Hà Nội,"\u003c/b\u003e Số 69, ngõ 83 đường Ngọc Hồi, phường Yên Sở, T.P Hà Nội\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 84-(4) 386 127 18 Fax: 84-(4) 386 127 18\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u",0,
CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC,Hà Nội,"\u003c/b\u003e CMC Tower,11 phố Duy Tân, phường Cầu Giấy, Hà Nội\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 024 379 586 68 Fax: 024 379 589 89\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e \u00",0,
CMS,Công ty cổ phần Tập đoàn CMH Việt Nam,Hà Nội,"\u003c/b\u003e Tầng 12, tòa nhà Intracom 2, 33 Cầu Diễn, phường Xuân Phương, T.P Hà Nội\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e +84-(04) 35738555 - Fax: +84-(04) 38564666\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố t",0,
CMV,Công ty Cổ phần Thương nghiệp Cà Mau,Cà Mau,"\u003c/b\u003e 70-72 Đề Thám, Phường 2, TP Cà Mau\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 0290.3839220- 3838282 Fax 0290.3834358- 3836893\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e Ông Lâm Q",0,0.12
CMX,Công ty Cổ phần Camimex Group,Cà Mau,"\u003c/b\u003e Số 999 Lý Thường Kiệt, Phường Tân Thành, tỉnh Cà Mau\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 02906.553399\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e \u003c/p\u003e\u003cp\u003",0,
CNG,Công ty cổ phần CNG Việt Nam,Hồ Chí Minh,"\u003c/b\u003e Số 475 Nguyễn An Ninh, Phường Tam Thắng, TP Hồ Chí Minh\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e (84.254) 3574.635 Số fax : (84.254) 3574.619\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u",0,
COM,Công ty Cổ phần Vật tư - Xăng dầu,Hồ Chí Minh,"\u003c/b\u003e 549 Điện Biên Phủ, P.3, Q.3, T.P Hồ Chí Minh\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 028 38 321 111/ 302 222Fax: 028 38 325 555\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e Trầ",0,0.1371
CPC,Công ty Cổ phần Thuốc sát trùng Cần Thơ,Cần Thơ,"\u003c/b\u003e 51 Trương Văn Diễn, phương Phước Thới, T.P Cần Thơ\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e +84-(710)-386 1770 - Fax: +84-(710)-386 1798\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u0",0,
