ticker,company_name,industry,state_own_pct,soe_dummy,hq_address_raw,province,state_own_source,ownership_keywords_hit,source
HLC,Công ty cổ phần Than Hà Lầm - Vinacomin,${this.renderText(this.dataTable?.Nganh)},,1,"\u003c/b\u003e Số 1, phố Tân Lập, phường Hà Lầm, T.P Hạ Long, tỉnh Quảng Ninh\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 84-(33) 382 53 39 Fax: 84-(33) 382 12 03\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\",Quảng Ninh,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
HOM,Công ty cổ phần Xi măng VICEM Hoàng Mai,${this.renderText(this.dataTable?.Nganh)},,1,"\u003c/b\u003e Khối 7, phường Quỳnh Thiện, thị xã Hoàng Mai,tỉnh Nghệ An\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e (84-38) 3 866 170 – Fax: (84-38) 3 866 648\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c",Nghệ An,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
HVT,Công ty Cổ phần Hóa chất Việt Trì,${this.renderText(this.dataTable?.Nganh)},,1,"\u003c/b\u003e phố Sông Thao, phường Thanh Miếu, tỉnh Phú Thọ\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 84-(210) 391 3743 Fax: 84–(210) 391 15 12\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e \",Phú Thọ,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
LAS,Công ty cổ phần Supe Phốt phát và Hóa chất Lâm Thao,${this.renderText(this.dataTable?.Nganh)},,1,"\u003c/b\u003e Khu Phương Lai 6, Thị trấn Lâm Thao, Huyện Lâm Thao, Tỉnh Phú Thọ\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e +84-(0210) 3825 139 - Fax: +84-(0210) 3825 126\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thôn",Phú Thọ,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
MCC,Công ty Cổ phần Gạch ngói cao cấp,${this.renderText(this.dataTable?.Nganh)},,1,"\u003c/b\u003e 246 Cây Chàm, phường Thạnh Phước, T.P Tân Uyên, tỉnh Bình Dương\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 84-(650) 365 82 78 Fax: 84-(650) 362 53 79\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông ti",Bình Dương,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
MDC,Công ty cổ phần Than Mông Dương - Vinacomin,${this.renderText(this.dataTable?.Nganh)},,1,"\u003c/b\u003e Tổ 7, khu 3, phường Mông Dương, tỉnh Quảng Ninh\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 84-(33) 386 82 71 - Fax: 84-(33) 386 82 76\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e \",Quảng Ninh,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
MEL,Công ty Cổ phần Thép Mê Lin,${this.renderText(this.dataTable?.Nganh)},,0,"\u003c/b\u003e Khu Hành chính số 8, phường Đống Đa, thành phố Vĩnh Yên, tỉnh Vĩnh Phúc\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e (0211)2479553 Fax : (0211)2479553\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\",Vĩnh Phúc,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
NBC,Công ty cổ phần Than Núi Béo – Vinacomin,${this.renderText(this.dataTable?.Nganh)},,1,"\u003c/b\u003e 799 Lê Thánh Tông, phường Hồng Gai, tỉnh Quảng Ninh\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e +84-(033)-3825 220 - Fax: +84-(033)-3625 270\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u",Quảng Ninh,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
NBP,Công ty Cổ phần Nhiệt điện Ninh Bình,${this.renderText(this.dataTable?.Nganh)},,1,"\u003c/b\u003e 01A Đường Hoàng Diệu, T.P Ninh Bình, tỉnh Ninh Bình\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 84-(030) 2210 537 Fax : 84-(030) 3873 762\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u00",Ninh Bình,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
NHC,Công ty Cổ phần Gạch Ngói Nhị Hiệp,${this.renderText(this.dataTable?.Nganh)},,0,"\u003c/b\u003e 34 đường ĐT 743, phường Tân Đông Hiệp, T.P Hồ Chí Minh\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 84-(650) 3749 080 Fax: 84-(650) 3749 287\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u0",Hồ Chí Minh,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
NST,Công ty Cổ phần Ngân Sơn,${this.renderText(this.dataTable?.Nganh)},1.0,1,"\u003c/b\u003e số 1, đường TS1, KCN Tiên Sơn, xã Đại Đồng, tỉnh Bắc Ninh\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e (0241)-6263 679 - Fax: (0241)-6263 686\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u",Bắc Ninh,keyword_window,bo; tong cong ty,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
NTP,Công ty Cổ phần Nhựa Thiếu niên Tiền Phong,${this.renderText(this.dataTable?.Nganh)},,1,"\u003c/b\u003e Số 2 An Đà, phường Gia Viên, T.P Hải Phòng\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e (84 31) 3640758 - Fax: (84 31) 3847755\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e \u003c/p\u",Hải Phòng,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
PBP,Công ty cổ phần Bao bì Dầu khí Việt Nam,${this.renderText(this.dataTable?.Nganh)},51.0,1,"\u003c/b\u003e Lô A1-3, KCN Trà Kha, Phường 8, Thành phố Bạc Liêu, Tỉnh Bạc Liêu\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e (0781) 3957555 - Fax: 0781 3 957 666\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u00",Bạc Liêu,keyword_window,tong cong ty,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
PCE,Công ty cổ phần Phân bón và Hóa chất Dầu khí Miền Trung,${this.renderText(this.dataTable?.Nganh)},,1,"\u003c/b\u003e Lô A2, cụm Công nghiệp Nhơn Bình, P.Quy Nhơn, tỉnh Gia Lai\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 056.3848588\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e \u003c/p\u003e\u003cp",Gia Lai,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
PCH,Công ty Cổ phần Nhựa Picomat,${this.renderText(this.dataTable?.Nganh)},,0,"\u003c/b\u003e Thôn Cầu Liêu, xã Tây Phương, thành phố Hà Nội\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 0988.330.555\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e \u003c/p\u003e\u003cp\u003e\u003",Hà Nội,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
PEN,Công ty cổ phần Xây lắp III Petrolimex,${this.renderText(this.dataTable?.Nganh)},,1,"\u003c/b\u003e 2286 Huỳnh Tấn Phát, Ấp 38, xã Nhà Bè, T.P Hồ Chí Minh\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e +84-(08)-3940 4602 - Fax: +84-(08)-3940 4606\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/",Hồ Chí Minh,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
PGN,Công ty Cổ phần Phụ gia Nhựa,${this.renderText(this.dataTable?.Nganh)},,0,"\u003c/b\u003e thôn Minh Quyết, phường Khai Quang, T.P Vĩnh Yên, tỉnh Vĩnh Phúc\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 0211. 3717108 - Fax: 0211. 3717107\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/",Vĩnh Phúc,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
PIA,Công ty cổ phần Tin học Viễn thông Petrolimex,${this.renderText(this.dataTable?.Nganh)},51.0,1,"\u003c/b\u003e Số 1 Khâm Thiên, P.Khâm Thiên, Q.Đống Đa, T.P Hà Nội\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e \u0027\u0027\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e Ông Nguyễn Văn Qúy - Kế to",Hà Nội,keyword_window,tong cong ty,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
PJC,Công ty Cổ phần Thương mại và Vận tải Petrolimex Hà Nội,${this.renderText(this.dataTable?.Nganh)},15.0,1,"\u003c/b\u003e Số 49 đường Đức Giang, phường Đức Giang, quận Long Biên, Hà Nội \u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 84-(4) 827 27 20 Fax: 84-(4) 877 03 22\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\",Hà Nội,keyword_window,nhà nước,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
PLC,Tổng Công ty Hóa dầu Petrolimex-CTCP,${this.renderText(this.dataTable?.Nganh)},,1,"\u003c/b\u003e Tầng 18 \u0026 19 toà nhà 229 Tây Sơn, phường Kim Liên, thành phố Hà Nội\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e +84-(04)-3851 3205 - Fax: +84-(04)-3851 3207\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố",Hà Nội,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
PMB,Công ty cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,${this.renderText(this.dataTable?.Nganh)},,1,"\u003c/b\u003e Tầng 4, tòa nhà Viện Dầu khí Việt Nam, số 167 đường Trung Kính, P.Yên Hòa, Q.Cầu Giấy, T.P Hà Nội\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 04.35378256| Fax: 04.35378255\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgư",Hà Nội,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
PPS,Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,${this.renderText(this.dataTable?.Nganh)},,1,"\u003c/b\u003e Tầng 7, tòa nhà HH3, KĐT Mỹ Đình, P.Mỹ Đình 1, Q.Nam Từ Liêm, T.P Hà Nội\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e (84-4) 3 7878186 - Fax: (84-4) 3 7878185\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thô",Hà Nội,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
PPT,Công ty cổ phần Petro Times,${this.renderText(this.dataTable?.Nganh)},,1,"\u003c/b\u003e 54 Tiền Phong, phường Hải An, thành phố Hải Phòng\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 0225 3625882 Fax: 0225 3625882\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e \u003c/p",Hải Phòng,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
PPY,Công ty cổ phần Xăng dầu Dầu khí Phú Yên,${this.renderText(this.dataTable?.Nganh)},,1,"\u003c/b\u003e 157-159 Hùng Vương, phường Tuy Hòa, tỉnh Đắk Lắk\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e (0573) 828643| Fax: (0573) 828643\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e \u003c/p\",Đắk Lắk,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
PSC,Công ty cổ phần Vận tải và Dịch vụ Petrolimex Sài Gòn,${this.renderText(this.dataTable?.Nganh)},,1,"\u003c/b\u003e 118 Huỳnh Tấn Phát, Tân Thuận Tây, Quận 07, Tp. Hồ Chí Minh.\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e +84-(08) 3872 310 14 - Fax: +84-(08) 3872 1013\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin",Hồ Chí Minh,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
PSD,Công ty cổ phần Dịch vụ Phân phối Tổng hợp Dầu khí,${this.renderText(this.dataTable?.Nganh)},,1,"\u003c/b\u003e P207, tòa nhà PetroVietnam, 1-5 Lê Duẩn, P.Sài Gòn, T.P Hồ Chí Minh\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e (84-8) 3911 5578 Fax: (84-8) 3911 5579\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:",Hồ Chí Minh,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
PSE,Công ty cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,${this.renderText(this.dataTable?.Nganh)},,1,"\u003c/b\u003e Số 27 Đinh Bộ Lĩnh, P.24, Q.Bình Thạnh, T.P Hồ Chí Minh\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 08. 3 5111999 - Fax: 08.35111666\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e \u0",Hồ Chí Minh,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
PSI,Công ty cổ phần Chứng khoán Dầu khí,${this.renderText(this.dataTable?.Nganh)},1.0,0,"\u003c/b\u003e Tầng 2, 18 Lý Thường Kiệt, Q.Hoàn Kiếm, T.P Hà Nội\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e +84-(04)-3934.3888 - Fax: +84-(04)-3934.3999\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u0",Hà Nội,keyword_window,tap doan,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
PSW,Công ty cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ,${this.renderText(this.dataTable?.Nganh)},,1,"\u003c/b\u003e Số 151/18 Trần Hoàng Na, P.Hưng Lợi, Q.Ninh Kiều,T.P Cần Thơ\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 0292.3765.079 - Fax: 0292.3765.078\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u0",Cần Thơ,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
PTS,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Hải Phòng,${this.renderText(this.dataTable?.Nganh)},51.0,1,"\u003c/b\u003e Số 61 đường Ngô Quyền, quận Ngô Quyền, Hải Phòng \u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 0313.765194 Fax: 0313.765194\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e Ông Đào Thanh",Hải Phòng,keyword_window,nhà nước,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
PTX,Công ty cổ phần Vận tải và Dịch vụ Petrolimex Nghệ Tĩnh,${this.renderText(this.dataTable?.Nganh)},,1,"\u003c/b\u003e số 1 ngõ 121, đường Nghệ An-Xiêng Khoảng, phường Vĩnh Hưng, tỉnh Nghệ An\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 0238 3851530 Fax: 0238 3851886\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u0",Nghệ An,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
PVB,Công ty cổ phần Bọc ống Dầu khí Việt Nam,${this.renderText(this.dataTable?.Nganh)},,1,"\u003c/b\u003e Đường 2B, KCN Phú Mỹ 1, phường Phú Mỹ, T.P Hồ Chí Minh\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e +84-(064)-3924456 - Fax: 064.3924455\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e",Hồ Chí Minh,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
PVC,Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP,${this.renderText(this.dataTable?.Nganh)},,1,"\u003c/b\u003e Tầng 6, tòa nhà Viện Dầu khí, 167 Trung Kính, P.Yên Hòa, T.P Hà Nội\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 84-(4) 385 628 61 - Fax: 84-(4) 385 625 52\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông",Hà Nội,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
PVS,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,${this.renderText(this.dataTable?.Nganh)},,1,"\u003c/b\u003e Lầu 5, Toà nhà PetroVietnamTower, số 1-5 Lê Duẩn, phường Bến Nghé, quận I, Tp. Hồ Chí Minh\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 84-(8) 3910 28 28 Fax: 84-(8) 3910 29 29\u003c/p\u003e\u003cp\u003e\u003cb\u0",Hồ Chí Minh,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
SDN,Công ty Cổ phần Sơn Đồng Nai,${this.renderText(this.dataTable?.Nganh)},,1,"\u003c/b\u003e Đường 6, KCN Hố Nai, phường Hố Nai, tỉnh Đồng Nai\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 84-(613) 3931 355 Fax: 84-(613) 3836 091\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e",Đồng Nai,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
SFN,Công ty Cổ phần Dệt lưới Sài Gòn,${this.renderText(this.dataTable?.Nganh)},,0,"\u003c/b\u003e 89 Nguyễn Khoái, Phường 1, Quận 4, Tp. HCM\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e (84-8) 3940 0945 Fax: (84-8) 3940 1580\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e \u003c/p\u",Hồ Chí Minh,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
SHE,Công ty Cổ phần Phát triển năng lượng Sơn Hà,${this.renderText(this.dataTable?.Nganh)},,0,"\u003c/b\u003e Lô D, cụm Công nghiệp thị trấn Phùng, xã Đan Phượng, T.P Hà Nội\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 024 62656566 - Fax: 024 32656568\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u",Hà Nội,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
SLS,Công ty cổ phần Mía đường Sơn La,${this.renderText(this.dataTable?.Nganh)},,1,"\u003c/b\u003e Km 34 thị trấn Hát Lót, huyện Mai Sơn, tỉnh Sơn La\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e (022) 3843 274 - Fax: (022) 3843 406\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e Ông",Sơn La,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
SSM,Công ty Cổ phần Chế tạo Kết cấu Thép VNECO.SSM,${this.renderText(this.dataTable?.Nganh)},,1,"\u003c/b\u003e Đường số 9, KCN Hòa Khánh, Q.Liên Chiểu, T.P Đà Nẵng\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 84-(511) 373 29 98 Fax: 84-(511) 373 24 89\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\",Đà Nẵng,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
TBX,Công ty Cổ phần Xi măng Thái Bình,${this.renderText(this.dataTable?.Nganh)},70.0,1,"\u003c/b\u003e Số 1 Quách Đình Bảo, cụm CN Phong Phú, phường Thái Bình, tỉnh Hưng Yên\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 84-(36) 3647 505 Fax: 84-(36) 3647 506\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông",Thái Bình,keyword_window,bo,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
